Prejacent,Competence,Gender,Age,English
FALSE,,Male,33,Yes
TRUE,,Female,31,Yes
,TRUE,Male,23,Yes
,FALSE,Female,60,Yes
,TRUE,Female,24,Yes
,FALSE,Male,27,Yes
FALSE,,Female,53,Yes
TRUE,,Female,22,Yes
,FALSE,,24,Yes
,FALSE,Female,39,Yes
FALSE,,Male,31,Yes
,TRUE,Female,35,Yes
FALSE,,Female,27,Yes
,FALSE,Male,24,Yes
,FALSE,Female,35,Yes
,TRUE,Female,53,Yes
FALSE,,Male,33,Yes
,FALSE,Female,33,Yes
,FALSE,Female,40,Yes
,FALSE,Female,40,Yes
TRUE,,Female,25,Yes
,FALSE,Male,38,Yes
,FALSE,Female,31,Yes
,FALSE,Male,31,Yes
FALSE,,Female,68,Yes
,TRUE,Female,43,Yes
FALSE,,Male,22,Yes
FALSE,,Female,44,Yes
,TRUE,Female,34,Yes
FALSE,,Female,25,Yes
,FALSE,Male,33,Yes
FALSE,,Male,42,Yes
,TRUE,Male,29,Yes
,FALSE,Male,40,Yes
FALSE,,Female,32,Yes
,FALSE,Female,20,Yes
TRUE,,Female,22,Yes
,FALSE,Male,27,Yes
,FALSE,Female,28,Yes
,FALSE,Male,33,Yes
FALSE,,Male,35,Yes
,FALSE,Female,48,Yes
,FALSE,,33,Yes
,FALSE,Male,44,Yes
,TRUE,Male,23,Yes
,FALSE,,,Yes
,FALSE,Male,47,Yes
FALSE,,Male,29,Yes
,FALSE,Male,39,Yes
TRUE,,Male,22,Yes
FALSE,,Male,43,Yes
FALSE,,Female,39,Yes
,FALSE,Female,32,Yes
FALSE,,Male,19,Yes
,TRUE,Male,31,Yes
,TRUE,Male,25,Yes
,TRUE,Female,24,Yes
FALSE,,Male,22,Yes
,FALSE,Male,31,Yes
FALSE,,Female,31,Yes
,TRUE,Female,18,Yes
,TRUE,Male,22,Yes
FALSE,,Male,22,Yes
,FALSE,Male,24,Yes
FALSE,,Male,28,Yes
,TRUE,Male,21,Yes
,TRUE,Male,18,Yes
,FALSE,Male,35,Yes
,FALSE,Male,20,Yes
FALSE,,Male,28,Yes
FALSE,,Male,21,Yes
FALSE,,Male,37,Yes
FALSE,,Female,58,Yes
TRUE,,Female,48,Yes
,FALSE,Male,26,Yes
FALSE,,Male,47,Yes
,TRUE,Male,24,Yes
FALSE,,Male,31,Yes
FALSE,,Male,23,Yes
TRUE,,Male,29,Yes
FALSE,,Male,38,Yes
FALSE,,Female,24,Yes
FALSE,,Female,34,Yes
,FALSE,Female,27,Yes
,FALSE,Male,27,Yes
FALSE,,Male,36,Yes
FALSE,,Female,21,Yes
,FALSE,Male,22,Yes
FALSE,,Male,26,Yes
FALSE,,Male,32,Yes
,TRUE,Female,45,Yes
,TRUE,Male,40,Yes
FALSE,,Male,36,Yes
FALSE,,Male,29,Yes
,FALSE,Female,24,Yes
,FALSE,Male,27,Yes
,FALSE,Female,25,Yes
,FALSE,Male,21,Yes
FALSE,,Male,28,Yes
FALSE,,Male,20,Yes
FALSE,,Male,34,Yes
FALSE,,Female,31,Yes
,FALSE,Male,37,Yes
,TRUE,Female,31,Yes
