QUD-prejacent,QUD-competence,Check,Gender,Age,English
,"(b) ""Yes, it is""",Yes,Male,24,Yes
,"(a) ""No, it's not""",Yes,Male,36,Yes
,"(b) ""Yes, it is""",Yes,Male,30,Yes
,"(a) ""No, it's not""",Yes,Male,33,Yes
"(b) ""Yes, it is""",,Yes,Male,62,Yes
,"(b) ""Yes, it is""",Yes,Female,31,Yes
"(b) ""Yes, it is""",,Yes,Female,41,Yes
"(a) ""No, it's not""",,Yes,Female,33,Yes
"(a) ""No, it's not""",,Yes,Male,29,Yes
"(b) ""Yes, it is""",,Yes,Male,39,Yes
,"(a) ""No, it's not""",Yes,Male,26,Yes
,"(a) ""No, it's not""",Yes,Female,26,No
,"(b) ""Yes, it is""",Yes,,28,Yes
,"(a) ""No, it's not""",Yes,Female,27,Yes
"(a) ""No, it's not""",,Yes,Male,26,Yes
,"(a) ""No, it's not""",Yes,Female,34,Yes
"(b) ""Yes, it is""",,Yes,Female,31,Yes
,"(b) ""Yes, it is""",Yes,Female,39,Yes
"(b) ""Yes, it is""",,Yes,Female,24,Yes
"(b) ""Yes, it is""",,Yes,Male,28,Yes
,"(a) ""No, it's not""",Yes,Male,53,Yes
,"(b) ""Yes, it is""",Yes,Male,30,Yes
,"(a) ""No, it's not""",Yes,Female,24,Yes
,"(b) ""Yes, it is""",Yes,Male,26,Yes
,"(a) ""No, it's not""",Yes,Male,65,No
,"(a) ""No, it's not""",Yes,Male,50,No
,"(b) ""Yes, it is""",Yes,Female,38,Yes
,"(b) ""Yes, it is""",Yes,Male,44,Yes
,"(a) ""No, it's not""",Yes,Male,23,Yes
,"(b) ""Yes, it is""",Yes,Male,27,Yes
,"(b) ""Yes, it is""",Yes,Male,34,Yes
"(a) ""No, it's not""",,Yes,Male,35,Yes
,"(b) ""Yes, it is""",Yes,Male,28,Yes
,"(b) ""Yes, it is""",Yes,Female,41,Yes
"(a) ""No, it's not""",,Yes,Female,30,Yes
"(b) ""Yes, it is""",,Yes,Male,29,Yes
,"(a) ""No, it's not""",Yes,Male,27,Yes
,"(b) ""Yes, it is""",Yes,Male,32,Yes
,"(b) ""Yes, it is""",Yes,Male,40,Yes
"(b) ""Yes, it is""",,No,Female,31,Yes
,"(b) ""Yes, it is""",Yes,Female,30,Yes
"(b) ""Yes, it is""",,Yes,Male,27,Yes
"(a) ""No, it's not""",,Yes,Male,60,Yes
,"(a) ""No, it's not""",No,Female,35,Yes
"(a) ""No, it's not""",,Yes,Female,24,Yes
"(a) ""No, it's not""",,Yes,Male,39,Yes
"(a) ""No, it's not""",,Yes,Male,35,Yes
,"(b) ""Yes, it is""",Yes,Female,35,Yes
"(b) ""Yes, it is""",,Yes,Male,43,Yes
"(a) ""No, it's not""",,Yes,Female,25,Yes
,"(b) ""Yes, it is""",Yes,Male,32,Yes
"(a) ""No, it's not""",,No,Male,30,Yes
,"(a) ""No, it's not""",Yes,Male,26,Yes
"(a) ""No, it's not""",,Yes,Female,32,Yes
"(b) ""Yes, it is""",,Yes,Male,21,Yes
"(a) ""No, it's not""",,Yes,Female,45,Yes
"(b) ""Yes, it is""",,Yes,Male,24,Yes
"(a) ""No, it's not""",,Yes,Female,34,Yes
,"(b) ""Yes, it is""",Yes,Female,30,Yes
"(a) ""No, it's not""",,Yes,Male,55,Yes
,"(b) ""Yes, it is""",Yes,Female,26,Yes
"(a) ""No, it's not""",,Yes,Female,53,Yes
,"(a) ""No, it's not""",Yes,Male,23,Yes
,"(b) ""Yes, it is""",Yes,Female,84,Yes
,"(a) ""No, it's not""",Yes,Male,23,Yes
"(a) ""No, it's not""",,Yes,Female,29,Yes
"(b) ""Yes, it is""",,Yes,Male,31,Yes
,"(b) ""Yes, it is""",Yes,Male,33,Yes
,"(b) ""Yes, it is""",Yes,Male,27,Yes
"(a) ""No, it's not""",,Yes,Male,30,Yes
,"(b) ""Yes, it is""",Yes,Male,47,Yes
,"(a) ""No, it's not""",Yes,Male,29,Yes
,"(a) ""No, it's not""",Yes,Female,43,Yes
"(a) ""No, it's not""",,Yes,Male,25,Yes
,"(b) ""Yes, it is""",Yes,Male,43,Yes
,"(b) ""Yes, it is""",Yes,Male,39,Yes
,"(b) ""Yes, it is""",Yes,Male,26,Yes
,"(b) ""Yes, it is""",Yes,Male,57,Yes
,"(b) ""Yes, it is""",Yes,Female,26,Yes
,"(a) ""No, it's not""",Yes,Female,32,Yes
"(a) ""No, it's not""",,Yes,Female,21,No
"(b) ""Yes, it is""",,Yes,Female,34,Yes
,"(b) ""Yes, it is""",Yes,Male,39,Yes
"(a) ""No, it's not""",,Yes,Male,35,Yes
"(a) ""No, it's not""",,Yes,Female,29,Yes
,"(b) ""Yes, it is""",No,Female,26,Yes
"(a) ""No, it's not""",,Yes,Male,48,Yes
"(a) ""No, it's not""",,Yes,Male,42,Yes
"(a) ""No, it's not""",,Yes,Female,30,Yes
"(b) ""Yes, it is""",,Yes,Female,56,Yes
,"(b) ""Yes, it is""",Yes,Male,20,Yes
"(a) ""No, it's not""",,Yes,Male,22,Yes
"(b) ""Yes, it is""",,Yes,Male,26,Yes
,"(b) ""Yes, it is""",Yes,Male,32,Yes
,"(a) ""No, it's not""",Yes,Male,34,Yes
"(b) ""Yes, it is""",,No,Male,26,Yes
,"(b) ""Yes, it is""",Yes,Male,70,Yes
"(b) ""Yes, it is""",,Yes,Female,54,Yes
,"(b) ""Yes, it is""",Yes,Male,29,No
,"(a) ""No, it's not""",Yes,Male,24,Yes
"(a) ""No, it's not""",,Yes,Male,25,No
"(b) ""Yes, it is""",,Yes,Female,19,Yes
"(b) ""Yes, it is""",,Yes,Male,42,Yes
,"(b) ""Yes, it is""",Yes,Male,74,Yes
,"(b) ""Yes, it is""",Yes,Female,49,No
,"(b) ""Yes, it is""",Yes,Male,34,Yes
