QUD-prejacent,QUD-competence,Check,Gender,Age,English
"John is worried he might have strep throat.  He goes to his
primary care physician and she runs an initial test that indicates that there
is a 75% chance that John does not have strep.  Based on the initial test
results, John’s doctor says:  “You probably don’t have strep throat.  However, we should do a throat culture
in order to be safe.  If it turns
out that you have strep throat, we should put you on antibiotics.” John comes back two days later to find out the results of the
throat culture, and talks to a different doctor.  The throat culture comes up positive,
which indicates there is a 90% chance that John has strep throat.  John
has not yet seen the results of these tests, but his new doctor has.  John
asks the new doctor:  “I’m trying to figure out whether I need to take
antibiotics.  My primary care
physician told me, ‘You probably don’t have strep.’  Is what she said
true?"" 
Which of the following responses would be correct?","John is worried he might have strep throat.  He goes to his
primary care physician and she runs an initial test that indicates that there
is a 75% chance that John does not have strep.  Based on the initial test
results, John’s doctor says:  “You probably don’t have strep throat.  However, we should do a throat culture
in order to be safe.  If it turns
out that you have strep throat, we should put you on antibiotics.”  John comes back two days later to find out the results of the
throat culture, and talks to a different doctor.  The throat culture comes up positive,
which indicates there is a 90% chance that John has strep throat. But now
John wants to know whether his primary care physician made a mistake
administering the initial test, so he asks:  “I’m trying to figure out
whether I can rely on my primary care physician.  She told me, ‘You probably don’t have strep’.  Is what she
said true?"" 
The new doctor reviews the initial tests, and confirms that John’s
primary care physician had not made any mistakes interpreting the results. 
Given this, which of the following responses would be correct?","In the scenario you read, which of the following did John's primary care physician say:","Please answer the following questions about yourself. 
What is your gender?",What is your age?,Is English your first language?
"{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID18""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID13""}"
"(a) ""No, what she said isn't true.""",,"(b) ""You probably don't have strep""",Male,27,Yes
,"(b) ""Yes, what she said is true.""","(b) ""You probably don't have strep""",Male,31,Yes
,"(a) ""No, what she said isn't true.""","(b) ""You probably don't have strep""",Male,34,Yes
"(a) ""No, what she said isn't true.""",,"(b) ""You probably don't have strep""",Male,22,Yes
"(a) ""No, what she said isn't true.""",,"(b) ""You probably don't have strep""",Male,27,Yes
,"(b) ""Yes, what she said is true.""","(b) ""You probably don't have strep""",Male,34,Yes
"(a) ""No, what she said isn't true.""",,"(b) ""You probably don't have strep""",Male,30,Yes
,"(b) ""Yes, what she said is true.""","(c) ""You probably have pneumonia""",Male,25,Yes
"(a) ""No, what she said isn't true.""",,"(b) ""You probably don't have strep""",Male,26,Yes
"(b) ""Yes, what she said is true.""",,"(b) ""You probably don't have strep""",Male,23,No
,"(a) ""No, what she said isn't true.""","(b) ""You probably don't have strep""",Female,23,Yes
,"(b) ""Yes, what she said is true.""","(b) ""You probably don't have strep""",Male,26,No
"(b) ""Yes, what she said is true.""",,"(b) ""You probably don't have strep""",Female,34,Yes
,,"(c) ""You probably have pneumonia""",Male,27,Yes
"(b) ""Yes, what she said is true.""",,"(b) ""You probably don't have strep""",Female,41,Yes
"(b) ""Yes, what she said is true.""",,"(b) ""You probably don't have strep""",Female,33,Yes
,"(b) ""Yes, what she said is true.""","(b) ""You probably don't have strep""",Male,65,Yes
,"(b) ""Yes, what she said is true.""","(b) ""You probably don't have strep""",Female,38,Yes
"(a) ""No, what she said isn't true.""",,"(b) ""You probably don't have strep""",Male,27,Yes
"(a) ""No, what she said isn't true.""",,"(b) ""You probably don't have strep""",Male,46,Yes
"(b) ""Yes, what she said is true.""",,"(b) ""You probably don't have strep""",Male,36,Yes
"(a) ""No, what she said isn't true.""",,"(b) ""You probably don't have strep""",Male,28,Yes
,"(a) ""No, what she said isn't true.""","(c) ""You probably have pneumonia""",Male,25,Yes
"(a) ""No, what she said isn't true.""",,"(b) ""You probably don't have strep""",Female,36,No
"(a) ""No, what she said isn't true.""",,"(b) ""You probably don't have strep""",Male,37,Yes
"(a) ""No, what she said isn't true.""",,"(b) ""You probably don't have strep""",Male,33,Yes
"(a) ""No, what she said isn't true.""",,"(b) ""You probably don't have strep""",Male,41,Yes
,"(b) ""Yes, what she said is true.""","(b) ""You probably don't have strep""",Female,44,Yes
,"(a) ""No, what she said isn't true.""","(a) ""You probably have strep""",Female,54,Yes
"(a) ""No, what she said isn't true.""",,"(a) ""You probably have strep""",Female,27,Yes
,"(b) ""Yes, what she said is true.""","(b) ""You probably don't have strep""",Female,34,Yes
,"(b) ""Yes, what she said is true.""","(b) ""You probably don't have strep""",Male,21,Yes
,"(b) ""Yes, what she said is true.""","(a) ""You probably have strep""",Male,25,No
,"(b) ""Yes, what she said is true.""","(b) ""You probably don't have strep""",Male,27,Yes
,"(b) ""Yes, what she said is true.""","(b) ""You probably don't have strep""",Male,51,Yes
"(a) ""No, what she said isn't true.""",,"(b) ""You probably don't have strep""",Female,25,Yes
"(a) ""No, what she said isn't true.""",,"(b) ""You probably don't have strep""",Female,54,Yes
,"(b) ""Yes, what she said is true.""","(b) ""You probably don't have strep""",Female,37,Yes
,"(b) ""Yes, what she said is true.""","(b) ""You probably don't have strep""",Male,30,Yes
"(b) ""Yes, what she said is true.""",,"(b) ""You probably don't have strep""",Female,39,Yes
"(b) ""Yes, what she said is true.""",,"(b) ""You probably don't have strep""",Female,39,No
"(a) ""No, what she said isn't true.""",,"(b) ""You probably don't have strep""",Male,42,Yes
"(a) ""No, what she said isn't true.""",,"(b) ""You probably don't have strep""",Male,36,Yes
"(b) ""Yes, what she said is true.""",,"(b) ""You probably don't have strep""",Female,29,Yes
